params,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean F1,Std F1
"{'C': 0.1, 'penalty': 'l1'}",0.8703120808369847,0.017306092683051007,0.8582381222514339,0.02197243421722501,0.8703120808369847,0.017306092683051007,0.8558230880842425,0.02009239262608099
"{'C': 0.1, 'penalty': 'l2'}",0.871729410712689,0.01799390143854102,0.8600915409920761,0.02500806339597556,0.871729410712689,0.01799390143854102,0.8572073090821443,0.021304594111886264
"{'C': 1.0, 'penalty': 'l1'}",0.8807274434409372,0.01668052419136629,0.8730776919764919,0.019646183713334365,0.8807274434409372,0.01668052419136629,0.8723012122228703,0.01880854152555503
"{'C': 1.0, 'penalty': 'l2'}",0.8783577751944917,0.018280904224743193,0.86823444143174,0.02193792538574593,0.8783577751944917,0.018280904224743193,0.8669415987640109,0.02183598797083863
"{'C': 10.0, 'penalty': 'l1'}",0.8901949387463114,0.01684262379056962,0.8843981469500084,0.019468722413691786,0.8901949387463114,0.01684262379056962,0.8848530973554934,0.01846533606256338
"{'C': 10.0, 'penalty': 'l2'}",0.8830971116873826,0.0154454158577473,0.8748768665565467,0.018590320754403235,0.8830971116873826,0.0154454158577473,0.8746766785716377,0.017840136934715402
