Metric,N_neighbors,Weights,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean F1,Std F1
manhattan,7,distance,0.9119690601806314,0.014413733262627581,0.9082048406300437,0.01673718999427233,0.9119690601806314,0.014413733262627581,0.907736870754778,0.015800681293776632
manhattan,5,distance,0.9114928909952607,0.016157570981873728,0.9078001927601245,0.018663673642412178,0.9114928909952607,0.016157570981873728,0.9074270460851637,0.017592805862431338
manhattan,3,distance,0.9105517303049272,0.017762624372891445,0.9069217349841191,0.01920091058939148,0.9105517303049272,0.017762624372891445,0.907421666955129,0.018752752904093384
manhattan,9,distance,0.9081775909863185,0.013809491757482738,0.9043837489555815,0.016720465238366202,0.9081775909863185,0.013809491757482738,0.9036291170380263,0.01562906940000101
manhattan,3,uniform,0.906766967718859,0.014195577546139497,0.9030798860647312,0.015892787422814733,0.906766967718859,0.014195577546139497,0.9024971294392513,0.016186936766543793
euclidean,3,distance,0.9039256013592059,0.011613192306171085,0.9008889747107285,0.011582174628118214,0.9039256013592059,0.011613192306171085,0.9008281524172496,0.011293751242873
manhattan,11,distance,0.9053384601627469,0.017001974869842604,0.9011303969134552,0.01996823285269345,0.9053384601627469,0.017001974869842604,0.9007808124970861,0.018555778402770017
euclidean,9,distance,0.9043883573280873,0.011846811900308181,0.9004288106946996,0.013373506833574043,0.9043883573280873,0.011846811900308181,0.9002748364706019,0.012870485384337542
euclidean,11,distance,0.9034382544934274,0.01819633046717802,0.8995672881330309,0.0208707769821028,0.9034382544934274,0.01819633046717802,0.8989057189480125,0.01972080822957343
euclidean,3,uniform,0.902032102298131,0.013085198439324918,0.8990880881096558,0.01364302287725274,0.902032102298131,0.013085198439324918,0.8982958589035406,0.014132816661946813
manhattan,15,distance,0.9034382544934274,0.017193993849762664,0.8990229217565412,0.02064000358262543,0.9034382544934274,0.017193993849762664,0.897995345405206,0.019079457127964616
euclidean,7,distance,0.9020231601538049,0.013132864251441341,0.8978454226677572,0.015520578956972949,0.9020231601538049,0.013132864251441341,0.8977491554366983,0.01441817037264358
euclidean,5,distance,0.8991817937941518,0.01635410022585596,0.894989210609384,0.018038582250330344,0.8991817937941518,0.01635410022585596,0.8951881386600599,0.017006806558409433
manhattan,5,uniform,0.8982473397120628,0.012211472146216562,0.8951404821429071,0.014574840342907703,0.8982473397120628,0.012211472146216562,0.8931921960917009,0.012924542836687727
manhattan,7,uniform,0.8987168022891889,0.010670563819031628,0.8939165759283215,0.013164078074243345,0.8987168022891889,0.010670563819031628,0.8925859919348035,0.01235393376142806
euclidean,15,distance,0.893972994724135,0.015976936424555326,0.8888225683631481,0.01878866208346675,0.893972994724135,0.015976936424555326,0.8884373044930485,0.017637122326606084
euclidean,9,uniform,0.8934923544666009,0.01943115063729741,0.8883847332014037,0.02318470121979778,0.8934923544666009,0.01943115063729741,0.886969405453215,0.021242352208204765
euclidean,7,uniform,0.8925556648484305,0.016074629306268767,0.8870921973635927,0.018970664421607705,0.8925556648484305,0.016074629306268767,0.8866675646187557,0.01730425682773069
manhattan,9,uniform,0.8930318340338014,0.015511960888671383,0.8881033046982125,0.019666333265033028,0.8930318340338014,0.015511960888671383,0.8858685866826633,0.018377254207501748
euclidean,5,uniform,0.8906644013234374,0.01721521237267672,0.886127747106868,0.019674797601501356,0.8906644013234374,0.01721521237267672,0.8853907499921114,0.01803446244523419
manhattan,11,uniform,0.8916077975498524,0.01587508996448491,0.8858971995697835,0.0212717827853,0.8916077975498524,0.01587508996448491,0.883477569830505,0.01937917106269578
euclidean,11,uniform,0.887344630242332,0.023534434597102732,0.8813270848925836,0.028115280765374367,0.887344630242332,0.023534434597102732,0.8796888795621909,0.026363403590495403
manhattan,15,uniform,0.8835643387284271,0.020300174827963285,0.8767183354608921,0.025629629536478942,0.8835643387284271,0.020300174827963285,0.8742968475885059,0.023896412450727024
euclidean,15,uniform,0.8807229723687741,0.01912321325702275,0.8738713921487568,0.024703983681284056,0.8807229723687741,0.01912321325702275,0.872137794079325,0.022270560152225935
